index,x,y,active
1,-1823.5245594492924,177.25803224193183,false
2,-1025.4583340063398,211.28958656000853,false
3,-850.7881882230286,220.97771762450972,false
4,-1139.7403411869675,200.56759621900932,false
5,-1584.5477382490571,158.47026022851662,false
6,-1423.9113061779142,176.65452025103386,false
7,-1805.096470229196,141.3595653646667,false
8,-1805.2062712642517,141.4184824564988,false
9,-1635.5912893970474,158.36911140021294,false
10,-1806.0097423787554,126.58696164180095,false
11,-1142.3266282952077,385.8671412673069,false
12,-1058.4115312741762,393.7553325266433,false
13,-895.4605390056196,406.17183713281395,false
14,-1767.6558188458057,108.09624946787157,false
15,-1766.9661418267094,103.52152227578352,false
16,-1663.8198593387986,153.6542346485257,false
17,-1200.6894038990113,310.7111484952691,true
18,-1184.0789628370924,309.4119018693741,true
19,-1056.124089355317,354.7888768294054,true
20,-1154.2843000376417,324.13435200701036,true
21,-1140.1325965924098,326.4366023922104,true
22,-1568.6757341394018,88.96894663092951,true
23,-1512.9304283498966,120.42072457866838,true
24,-1475.403476552764,152.7431532801953,true
25,-1640.7911201885113,39.018422650084084,true
26,-1678.3184295566282,8.823666841787038,true
27,-1716.470817306687,-8.51283569757601,true
28,-2272.6331718598626,-415.7235296300854,true
29,-2259.9607957704584,-416.59390239972964,true
30,-1842.568409937641,-140.46467024350875,true
31,-1229.460259613403,259.67608994951195,true
32,-1224.3920008525363,263.6260527450652,true
33,-1060.6841283099063,308.08113770270006,true
34,-1687.078777009406,-43.25729900352461,true
35,-1688.6293786216127,-37.293333265977836,true
36,-1867.2215970947825,-221.13767032541034,true
37,-1711.9462141087442,-43.34661485107816,true
38,-1645.326668973075,-283.1060168624639,true
39,-1770.729671062796,-109.61212004678165,true
40,-1577.9988198024416,112.82327245572196,true
41,-1746.4872578492648,-116.30320877537714,true
42,-1697.0474419185725,-370.13193139328143,true
43,-1713.1616458852477,-375.8616784296203,true
44,-1672.3611325502288,-336.0469500207724,true
45,-1698.869340441784,-361.610142206995,true
46,-1681.5091281261678,-354.5644699850937,true
47,-1687.79940185679,-348.48622970047967,true
48,-1699.2764666624682,-351.65065497142376,true
49,-1697.8183999933967,-38.473290253930166,false
